"id","mz","rt","annotation"
"M295.13T406.65",295.1293,406.65,""
"M350.62T409.24",350.6212,409.24,""
"M268.66T408.73",268.6585,408.73,""
"M145.08T410.28",145.0764,410.28,""
"M190.05T411.45",190.0504,411.45,""
"M214.13T411.31",214.1342,411.31,""
"M378.2T412.48",378.2037,412.48,""
"M316.22T413.91",316.2235,413.91,""
"M328.22T437.8",328.2236,437.8,""
"M326.21T414.96",326.208,414.96,""
"M336.19T415.21",336.192,415.21,""
"M295.19T417.02",295.1883,417.02,""
"M289.12T417.28",289.1191,417.28,""
"M261.12T419.11",261.1239,419.11,""
"M197.13T423.26",197.1289,423.26,""
"M786.17T426.25",786.1663,426.25,""
"M316.21T430.54",316.2128,430.54,""
"M231.11T430.8",231.1133,430.8,""
"M160.08T433.66",160.0762,433.66,""
"M457.11T433.91",457.1121,433.91,""
"M204.1T435.6",204.1025,435.6,""
"M195.09T436.77",195.0882,436.77,""
"M291.15T444.85",291.1461,444.85,""
"M275.11T445.88",275.1141,445.88,""
"M263.14T447.96",263.1396,447.96,""
"M257.15T449.13",257.1456,449.13,""
"M120.04T450.56",120.0447,450.56,""
"M138.06T451.33",138.0551,451.33,""
"M243.13T457.64",243.1345,457.64,""
"M360.19T459.98",360.193,459.98,""
"M300.2T461.28",300.1994,461.28,""
"M399.26T461.02",399.2608,461.02,""
"M291.09T462.05",291.0946,462.05,""
"M176.07T465.7",176.0708,465.7,""
"M159.09T464.27",159.0916,464.27,""
"M277.15T466.47",277.154,466.47,""
"M159.07T466.73",159.0678,466.73,""
"M418.14T474.32",418.1393,474.32,""
"M231.17T475.37",231.1701,475.37,""
"M491.29T496.41",491.2857,496.41,""
"M344.25T476.52",344.2541,476.52,""
"M255.08T482.73",255.0761,482.73,""
"M211.14T497.45",211.1437,497.45,""
"M342.24T486.25",342.2386,486.25,""
"M427.29T485.86",427.2907,485.86,""
"M245.59T495.11",245.5915,495.11,""
"M232.13T495.36",232.1331,495.36,""
"M145.08T508.11",145.0762,508.11,""
"M439.29T506.82",439.2913,506.82,""
"M831.14T503.95",831.1424,503.95,""
"M187.09T505",187.0865,505,""
"M163.09T512.64",163.0866,512.64,""
"M473.3T511.21",473.297,511.21,""
"M441.31T516.66",441.3069,516.66,""
"M245.13T525.64",245.1278,525.64,""
"M246.13T525.63",246.1308,525.63,""
"M505.3T526.66",505.3001,526.66,""
"M311.14T527.97",311.139,527.97,""
"M530.13T538.67",530.1333,538.67,""
"M186.09T531.62",186.0911,531.62,""
"M188.11T535.78",188.107,535.78,""
"M275.03T536.04",275.0306,536.04,""
"M321.1T537.6",321.1014,537.6,""
"M202.09T545.21",202.0858,545.21,""
"M265.57T546.37",265.5707,546.37,""
"M243.09T558.67",243.0876,558.67,""
"M204.1T564.12",204.1021,564.12,""
"M260.16T583.7",260.164,583.7,""
"M775.9T572.93",775.9025,572.93,""
"M392.25T573.83",392.2541,573.83,""
"M263.12T576.07",263.1178,576.07,""
"M200.11T578.31",200.1066,578.31,""
"M202.12T578.44",202.1224,578.44,""
"M136.08T584.09",136.0755,584.09,""
"M118.06T585.64",118.0647,585.64,""
"M323.09T586.42",323.088,586.42,""
"M485.11T612.66",485.1122,612.66,""
"M215.12T626.24",215.1175,626.24,""
"M263.12T624.79",263.1177,624.79,""
"M224.08T640.69",224.0815,640.69,""
