names(shortlist),med.mz,med.rt,library annotation,putative annotation
M397.33T1269.79,397.3292758067,1269.791,NA,NA
M488.33T1270.83,488.3317687774,1270.825,NA,NA
M136.11T1272.39,136.1117754326,1272.394,NA,NA
M466.32T1274.46,466.3193642928,1274.465,NA,NA
M122.1T1276.28,122.0965122689,1276.284,NA,NA
M865.62T1277.85,865.6232336243,1277.847,NA,NA
M353.3T1282.53,353.3029135584,1282.529,NA,NA
M821.6T1283.04,821.5963883771,1283.04,NA,NA
M353.29T1284.86,353.2861675757,1284.861,NA,NA
M325.07T1285.12,325.0679067697,1285.116,NA,NA
M777.57T1286.67,777.5715071517,1286.67,NA,NA
M609.34T1288.22,609.3412321361,1288.217,NA,NA
M733.54T1292.1,733.544650616,1292.102,NA,NA
M413.27T1297.03,413.2670813217,1297.025,NA,Bis(2-ethylhexyl)phthalate CONT
M393.3T1294.68,393.2979072358,1294.685,NA,NA
M149.02T1295.98,149.0235191599,1295.9765,NA,NA
M391.29T1297.28,391.2850466006,1297.279,NA,NA
M689.52T1298.05,689.5179733949,1298.052,NA,NA
M645.49T1301.45,645.4914075366,1301.445,NA,NA
M601.46T1307.16,601.464859638,1307.159,NA,NA
M144.98T1409.56,144.9824430818,1409.5565,NA,NA
M265.96T1330.45,265.9629918292,1330.448,NA,NA
M557.44T1313.67,557.438743542,1313.6685,NA,NA
M146.98T1316.52,146.9808030624,1316.521,NA,NA
M513.41T1320.44,513.413578707,1320.437,NA,NA
M469.39T1328.01,469.387155433,1328.01,NA,NA
M284.3T1328.91,284.2957535947,1328.9135,NA,NA
M324.33T1331.38,324.3270005932,1331.38,NA,NA
M311.25T1335.27,311.2494011785,1335.268,NA,NA
M542.42T1359.88,542.420914395,1359.875,NA,NA
M338.34T1339.43,338.3423182907,1339.43,NA,NA
M425.36T1338.38,425.360190882,1338.376,NA,NA
M502.35T1343.85,502.348700057,1343.848,NA,NA
M121.97T1381.09,121.9662876153,1381.089,NA,NA
M146.98T1381.23,146.9807385638,1381.227,NA,NA
M394.35T1366.24,394.3475277834,1366.244,NA,NA
M122.1T1374.68,122.0965253913,1374.6815,NA,NA
M136.11T1448.2,136.1122586963,1448.205,NA,NA
M133.96T1397.35,133.9596479361,1397.351,NA,NA
M122.1T1460.79,122.0965726691,1460.789,NA,NA
M123.09T1417.81,123.0921104076,1417.809,NA,NA
M146.98T1450.82,146.9804928136,1450.815,NA,NA
M469.38T1466.95,469.3779327156,1466.952,NA,NA
M121.97T1468.13,121.9661343358,1468.126,NA,NA
