names(shortlist),med.mz,med.rt,library annotation,putative annotation
M734.27T356.41,734.2747307088,356.408,NA,NA
M235.07T357.45,235.0665174014,357.452,NA,NA
M655.23T359.27,655.2267661039,359.271,NA,NA
M686.76T358.74,686.7595523826,358.743,NA,NA
M666.22T359.78,666.2162612343,359.783,NA,NA
M174.06T360.96,174.0554029881,360.9625,NA,NA
M679.29T361.61,679.2915955058,361.613,NA,NA
M243.08T362.4,243.0771335611,362.403,NA,NA
M215.08T362.66,215.0815293587,362.657,NA,NA
M331.18T363.96,331.17745443,363.958,NA,NA
M693.77T367.08,693.7669173137,367.0845,NA,NA
M719.75T366.82,719.7470546605,366.821,NA,NA
M462.85T367.6,462.8478830881,367.596,NA,NA
M359.64T368.9,359.6449185004,368.901,NA,NA
M188.07T371.25,188.070960478,371.2515,tryptophan (fragment),NA
M205.1T370.99,205.0974821683,370.987,tryptophan,NA
M270.19T371.24,270.192552691,371.243,NA,NA
M304.18T373.32,304.1769232397,373.321,NA,NA
M784.27T374.37,784.2691147242,374.3685,NA,NA
M795.26T374.75,795.2586254784,374.7525,NA,NA
M694.26T376.97,694.2594320331,376.972,NA,NA
M358.2T377.48,358.1984604807,377.48,NA,Ile Pro Glu / Leu Pro Glu
M195.11T378.66,195.1130375216,378.6595,NA,NA
M848.79T380.87,848.7916540192,380.865,NA,NA
M211.09T382.17,211.0874142295,382.172,pyocyanin,NA
M578.85T381.64,578.8462011063,381.64,NA,NA
M732.26T383.07,732.2603651576,383.0745,NA,NA
M298.1T385.29,298.0978436892,385.294,5'-methylthioadenosine,NA
M261.13T385.55,261.131709549,385.55,NA,NA
M913.31T388.16,913.3134160391,388.156,NA,NA
M187.12T391.55,187.1234920672,391.552,NA,NA
M204.12T389.98,204.1234227516,389.976,NA,NA
M243.18T392.85,243.1838679197,392.847,NA,NA
M258.58T397.4,258.5821920372,397.399,NA,NA
M977.84T395.18,977.8352352929,395.184,NA,NA
M516.16T395.97,516.1559736335,395.973,NA,NA
M364.62T397.4,364.6188635624,397.399,NA,NA
M728.23T398.3,728.2285347555,398.302,NA,NA
M188.12T399.72,188.1199048356,399.721,NA,NA
M254.09T400.89,254.0929734408,400.888,NA,NA
M295.13T406.65,295.1292903699,406.651,NA,Glu Phe
M350.62T409.24,350.6212221895,409.24,folic acid (fragment),NA
M268.66T408.73,268.6585096452,408.73,NA,NA
M145.08T410.28,145.076384283,410.283,NA,NA
M190.05T411.45,190.0503528996,411.447,kynurenate,NA
M214.13T411.31,214.1342043999,411.311,NA,NA
M378.2T412.48,378.2036781434,412.4835,NA,Pro Tyr Val
M316.22T413.91,316.2234933118,413.913,NA,Val Val Val
M328.22T437.8,328.2235670081,437.8005,NA,Pro Leu Val
M326.21T414.96,326.2079576479,414.956,NA,NA
M336.19T415.21,336.1919658291,415.21,NA,Phe Val Ala / Val Phe Ala
M295.19T417.02,295.1883492751,417.022,NA,NA
M289.12T417.28,289.1191429532,417.277,NA,NA
M261.12T419.11,261.123896752,419.105,NA,NA
M197.13T423.26,197.1289124772,423.263,NA,NA
M786.17T426.25,786.1663056142,426.25,FAD,NA
M316.21T430.54,316.2128432173,430.543,NA,NA
M231.11T430.8,231.113300427,430.8,NA,NA
M160.08T433.66,160.0762336099,433.661,NA,NA
M457.11T433.91,457.1120687338,433.912,NA,FMN
M204.1T435.6,204.1024863373,435.5955,NA,NA
M195.09T436.77,195.088236628,436.772,caffeine ISTD,NA
M291.15T444.85,291.1460849054,444.849,trimethoprim ISTD,NA
M275.11T445.88,275.1141230101,445.878,NA,NA
M263.14T447.96,263.1395630517,447.961,NA,Pro Phe
M257.15T449.13,257.1455756515,449.128,NA,NA
M120.04T450.56,120.0446784014,450.555,anthranilate (fragment),NA
M138.06T451.33,138.0551394823,451.33,anthranilate,NA
M243.13T457.64,243.134524915,457.636,NA,NA
M360.19T459.98,360.1930351747,459.98,NA,NA
M300.2T461.28,300.1994397911,461.284,NA,NA
M399.26T461.02,399.2607634357,461.021,NA,NA
M291.09T462.05,291.0945730373,462.053,trimethoprim ISTD,NA
M176.07T465.7,176.0707937549,465.699,NA,NA
M159.09T464.27,159.0916474213,464.2655,NA,NA
M277.15T466.47,277.1540210843,466.472,NA,NA
M159.07T466.73,159.0677632887,466.727,NA,NA
M418.14T474.32,418.1392770403,474.322,NA,NA
M231.17T475.37,231.1700652142,475.3675,NA,Leu Val
M491.29T496.41,491.285652977,496.407,NA,NA
M344.25T476.52,344.2541472487,476.5235,NA,Leu Leu Val or isomer
M255.08T482.73,255.076134994,482.732,NA,NA
M211.14T497.45,211.1436797886,497.452,NA,cyclo(Leu Pro)
M342.24T486.25,342.2386277213,486.2485,NA,Pro Ile Leu or isomer
M427.29T485.86,427.2906609522,485.855,NA,NA
M245.59T495.11,245.5914754526,495.109,NA,NA
M232.13T495.36,232.1330765544,495.363,NA,NA
M145.08T508.11,145.0761610754,508.1135,NA,NA
M439.29T506.82,439.2913159239,506.82,NA,NA
M831.14T503.95,831.1424270072,503.955,NA,NA
M187.09T505,187.0864746589,504.999,NA,NA
M163.09T512.64,163.0865528924,512.642,NA,NA
M473.3T511.21,473.2969984711,511.21,NA,NA
M441.31T516.66,441.3069291916,516.656,NA,NA
M245.13T525.64,245.1278046019,525.6355,NA,cyclo(Phe Pro)
M246.13T525.63,246.130803286,525.629,NA,NA
M505.3T526.66,505.300147834,526.663,NA,NA
M311.14T527.97,311.1390013784,527.971,NA,NA
M530.13T538.67,530.1333241332,538.6695,NA,NA
M186.09T531.62,186.0910731545,531.619,NA,NA
M188.11T535.78,188.1070272224,535.785,NA,C3-HQ
M275.03T536.04,275.0306160687,536.042,NA,NA
M321.1T537.6,321.101417394,537.6005,NA,NA
M202.09T545.21,202.0858267549,545.206,NA,NA
M265.57T546.37,265.570722234,546.3745,NA,NA
M243.09T558.67,243.0876006749,558.6665,lumichrome,NA
M204.1T564.12,204.1020824934,564.122,NA,NA
M260.16T583.7,260.1640186332,583.698,NA,C7-QNO
M775.9T572.93,775.9024896367,572.927,NA,NA
M392.25T573.83,392.2540639318,573.8325,NA,Phe Leu Leu or isomer
M263.12T576.07,263.1178066297,576.0655,NA,NA
M200.11T578.31,200.1065525729,578.3135,NA,NA
M202.12T578.44,202.1223669006,578.441,NA,NA
M136.08T584.09,136.0755479857,584.094,NA,NA
M118.06T585.64,118.0646964837,585.638,NA,NA
